location,category,itemname,open_qty,qty_in_stock,cost_price,selling_price,totalcost
"MODERN DREAM A","ACCESSORIES","24W 3COLOURS LED LIGHT SQ",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24W 3IN1 LED LIGHT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24W COND 2IN1 NDC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24W COND LED LIGHT V-TAC",0,1,180.00,180.00,0.00
"MODERN DREAM A","ACCESSORIES","24W COND LED LIGHT WINZONE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24W COND LED LIGHT(NORNAL)",0,0,60.00,60.00,0.00
"MODERN DREAM A","ACCESSORIES","24W COND-SURF LED LIGHT ROHS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24W COND/SURF LED LIGHT PHILIPS",0,4,220.00,220.00,0.00
"MODERN DREAM A","ACCESSORIES","24W LED COND VELLMAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24W T5 LED LIGHT COMPLETE MODI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","25W ENERGY BULB MACSONIC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","25W LED COB SURF(NORMAL)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","25W LIGHT LAMP HI FI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","25W SURF COB LED LIGHT ERT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","25X40 TRUNK",0,14,40.00,40.00,0.00
"MODERN DREAM A","ACCESSORIES","26W 3U BULB PCI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","26W LED BULB PLC(KLITE)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","28W 2D BULB SEVEN'S",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","28W 2D BULB VETO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","28W BULB  SMART EMERGENCY",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","28W OPTIMIST LED COND",0,0,100.00,100.00,0.00
"MODERN DREAM A","ACCESSORIES","2D 21W BULB",0,121,80.00,80.00,0.00
"MODERN DREAM A","ACCESSORIES","2D 21W CEILING LIGHT",0,0,180.00,180.00,0.00
"MODERN DREAM A","ACCESSORIES","2D BULB 38W",0,2,100.00,100.00,0.00
"MODERN DREAM A","ACCESSORIES","2D CHOKE 21W",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2D CHOKE 38W",0,0,30.00,30.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT  T8 LED COMP BATTAN",0,0,90.00,90.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT 20W MOSQUITO TUBE EMKAY",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT CHOKE",0,4,50.00,50.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT FITTING WATERPROOF ANSELL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT FITTING WATERPROOF COMPLETE V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT FLAT LED LIGHT(WM) V-TAC",0,0,0.00,0.00,0.00
